epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.2776381496136839,0.18014100385868304,89.5,93.32273449920508,0.001
2,0.1891220997138457,0.21047767003574697,93.45454545454545,91.89189189189189,0.001
3,0.1640059555118734,0.14747174692433476,94.18181818181819,94.4356120826709,0.001
4,0.1613721562312408,0.11928855721351642,93.77272727272727,96.02543720190779,0.001
5,0.12827297592704948,0.11094687858948836,95.27272727272727,96.18441971383147,0.001
6,0.11310533573088997,0.058838456145092394,96.5909090909091,98.25119236883943,0.0001
7,0.06404655122409829,0.0863288085789848,98.22727272727273,97.93322734499205,0.0001
8,0.04250419412951239,0.04677480322002173,98.4090909090909,99.36406995230524,0.0001
9,0.03007114370607517,0.08486262274359961,99.0909090909091,98.5691573926868,0.0001
10,0.028487046823138372,0.2605573597191263,99.0,96.34340222575517,0.0001
11,0.026267959390481172,0.02816691974016282,99.0909090909091,99.04610492845786,0.0001
12,0.0410073758025696,0.12043226129752374,99.04545454545455,97.45627980922099,0.0001
13,0.032308546839472416,0.11544104655070041,98.95454545454545,98.41017488076312,0.0001
14,0.024234861315556123,0.031316863658806274,99.13636363636364,99.36406995230524,0.0001
15,0.025880486339923334,0.07835815230639644,99.45454545454545,99.04610492845786,0.0001
