epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,2161.14,1.16835,0.83625,1.58617,0.96998,0.94182,0.98376,0.61064,1.28554,0.5696,2.00208,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,2226.29,1.15795,0.78888,1.57636,0.96825,0.95738,0.97935,0.61607,1.29076,0.55836,2.01606,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,2291.52,1.15719,0.79747,1.57667,0.95546,0.94479,0.97841,0.64024,1.21213,0.54742,1.9173,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,2356.66,1.14122,0.78784,1.5673,0.94476,0.97031,0.97755,0.63155,1.2261,0.55846,1.95018,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,2421.5,1.1471,0.78839,1.55987,0.96619,0.95806,0.9837,0.64006,1.22218,0.54864,1.93449,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,2486.38,1.13505,0.78207,1.55308,0.96549,0.95294,0.98047,0.64468,1.20833,0.53737,1.91507,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,2551.62,1.14755,0.7842,1.57452,0.97619,0.95922,0.98868,0.63234,1.23548,0.52501,1.95452,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,2616.78,1.13099,0.77851,1.56439,0.97352,0.9558,0.98664,0.64098,1.22743,0.5166,1.95153,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,2681.89,1.12789,0.77428,1.56197,0.95521,0.96602,0.98738,0.63553,1.26723,0.53414,1.95402,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,2747.4,1.12163,0.76091,1.54242,0.96259,0.96016,0.98199,0.64754,1.20327,0.52366,1.92557,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,2813.66,1.1337,0.79465,1.56847,0.96798,0.96088,0.98405,0.65282,1.17745,0.5629,1.89872,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,2879.86,1.12861,0.77774,1.55149,0.97258,0.96692,0.98803,0.65448,1.20306,0.51638,1.90418,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,2946.1,1.1242,0.7759,1.5443,0.96453,0.9696,0.98476,0.6415,1.20714,0.53802,1.91818,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,3012.63,1.1217,0.75872,1.54519,0.96042,0.96845,0.98657,0.64163,1.1848,0.52605,1.88785,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,3079.2,1.11192,0.74794,1.53475,0.97868,0.95941,0.98563,0.64425,1.18964,0.50466,1.89475,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,3145.73,1.12114,0.77536,1.54873,0.96547,0.96334,0.98415,0.65787,1.16289,0.5175,1.85631,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,3211.76,1.10715,0.76331,1.53301,0.96749,0.97268,0.98269,0.65634,1.1718,0.50369,1.87842,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,3277.43,1.10792,0.75275,1.5324,0.96944,0.97069,0.98752,0.66492,1.16356,0.50345,1.87124,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,3346.61,1.12381,0.7586,1.55384,0.97394,0.9617,0.98944,0.6551,1.17879,0.50547,1.86286,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,3418.67,1.09965,0.74614,1.52092,0.9797,0.96043,0.99074,0.65126,1.17461,0.519,1.86129,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,3490.99,1.08596,0.72237,1.51897,0.9692,0.97459,0.97952,0.64945,1.18778,0.53523,1.8856,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,3568.55,1.08608,0.74033,1.53083,0.96527,0.95956,0.98547,0.6438,1.21616,0.54602,1.9161,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,3639.52,1.09447,0.72721,1.5211,0.97653,0.9596,0.98141,0.6336,1.21753,0.52683,1.92591,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,3708.35,1.10489,0.72263,1.52882,0.97015,0.97583,0.98758,0.65252,1.20494,0.48174,1.91392,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,3782.12,1.08756,0.72911,1.51639,0.98028,0.96178,0.98825,0.66116,1.17363,0.49892,1.86766,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,3854.31,1.09159,0.72343,1.52773,0.97143,0.97454,0.98868,0.67101,1.14164,0.47685,1.8453,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,3927.58,1.09303,0.73247,1.53251,0.98093,0.96418,0.98605,0.6489,1.1827,0.48022,1.88316,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,3998.02,1.09311,0.71809,1.52408,0.97669,0.97471,0.98423,0.65855,1.15218,0.48637,1.85363,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
